Assignment - Set up your email and accounts (2362),PAP-2022-Fall-L1-G1,Practice,10
Assignment - Digital Literacy Evaluation (2378),PAP-2022-Fall-L1-G1,Practice,5
Assignment - Skills Self-Evaluation and Goal Setting (2365),PAP-2022-Fall-L1-G1,Practice,10
L1-5: Quiz (2356),PAP-2022-Fall-L1-G1,Quiz,5
L1-2: Assignment - Core Principles (2379),PAP-2022-Fall-L1-G1,Practice,10
L1-3: Assignment - Moveable Objects (2380),PAP-2022-Fall-L1-G1,Practice,10
L1-3: Quiz (2354),PAP-2022-Fall-L1-G1,Quiz,5
L1-1: Quiz (2359),PAP-2022-Fall-L1-G1,Quiz,5
L1-1: Assignment - Fill out the DSFA Student profile form (2434),PAP-2022-Fall-L1-G1,Practice,10
L1-4: Assignment - Game Design Statement (2381),PAP-2022-Fall-L1-G1,Practice,10
L1-5: Assignment - Catch Game (2382),PAP-2022-Fall-L1-G1,Practice,10
L1-6: Assignment - Jumping Game (2383),PAP-2022-Fall-L1-G1,Practice,10
L1-6: Quiz (2360),PAP-2022-Fall-L1-G1,Quiz,5
L1-7: Assignment - Maze Game (2384),PAP-2022-Fall-L1-G1,Practice,10
L1-7: Quiz (2357),PAP-2022-Fall-L1-G1,Quiz,5
L1-8: Assignment - Development Progress Check-in #1 (2385),PAP-2022-Fall-L1-G1,Practice,10
L1-9: Assignment - Development Progress Check-in #2 (2386),PAP-2022-Fall-L1-G1,Practice,10
L1-10: Assignment - User Research (2370),PAP-2022-Fall-L1-G1,Practice,10
L1-11: Assignment - Development Progress Check-in #3 (2371),PAP-2022-Fall-L1-G1,Practice,10
L1-12: Assignment - Final Presentation (2373),PAP-2022-Fall-L1-G1,Practice,20
Assignment - End-of-course Tech Skills Self-evaluation (2364),PAP-2022-Fall-L1-G1,Practice,10
L1-12: Assignment - Fill out the DSFA Student project form (2433),PAP-2022-Fall-L1-G1,Practice,10
L1-12: Final Exam (Game Dev Only) (2355),PAP-2022-Fall-L1-G1,Exam,15
Create and move the asteroids (2367),PAP-2022-Fall-L1-G1,Practice,10
Instructor Assignment - Narrative Evaluation (2369),PAP-2022-Fall-L1-G1,Practice,0
L1-11: Assignment - Submit Final Version of Game with Purpose (2372),PAP-2022-Fall-L1-G1,Practice,30
Make the laser fire (2387),PAP-2022-Fall-L1-G1,Practice,0
